date,signal
2013-02-09 19:01:04,-58.06509695290859
2013-02-09 20:01:04,-57.983379501385045
2013-02-09 21:01:03,-57.78808864265928
2013-02-09 22:01:05,-57.677285318559555
2013-02-09 23:01:04,-57.59556786703601
2013-02-10 00:01:05,-57.551246537396125
2013-02-10 01:01:05,-57.38365650969529
2013-02-10 02:01:04,-57.23961218836565
2013-02-10 03:01:05,-57.13019390581717
2013-02-10 04:01:04,-57.13642659279778
2013-02-10 05:01:04,-57.25623268698061
2013-02-10 06:01:06,-57.33656509695291
2013-02-10 07:01:05,-57.335180055401665
2013-02-10 08:01:05,-57.427285318559555
2013-02-10 09:01:05,-57.695983379501385
2013-02-10 10:01:05,-58.03947368421053
2013-02-10 11:01:05,-58.124653739612185
2013-02-10 12:01:06,-58.399584487534625
2013-02-10 13:01:07,-58.26315789473684
2013-02-10 14:01:06,-58.57409972299169
2013-02-10 15:01:05,-58.54362880886426
2013-02-10 16:01:04,-58.31786703601108
2013-02-10 17:01:06,-58.21606648199446
2013-02-10 18:01:06,-58.174515235457065
2013-02-10 19:01:07,-57.99307479224377
2013-02-10 20:01:22,-58.04916897506925
2013-02-10 21:01:05,-58.63781163434903
2013-02-10 22:01:04,-58.16343490304709
2013-02-10 23:01:14,-58.00969529085872
2013-02-11 00:01:06,-58.02423822714682
2013-02-11 01:01:07,-58.232686980609415
2013-02-11 02:01:05,-58.38919667590028
2013-02-11 03:01:05,-58.57340720221607
2013-02-11 04:01:06,-58.57479224376731
2013-02-11 05:01:06,-58.464681440443215
2013-02-11 06:01:11,-58.414819944598335
2013-02-11 07:01:05,-58.38157894736842
2013-02-11 08:01:05,-58.30886426592798
2013-02-11 09:01:06,-58.5090027700831
2013-02-11 10:01:06,-58.70637119113574
2013-02-11 11:01:04,-58.64265927977839
2013-02-11 12:01:05,-58.64819944598338
2013-02-11 13:01:04,-58.63850415512465
2013-02-11 14:01:05,-58.48199445983379
2013-02-11 15:01:08,-58.50554016620499
2013-02-11 16:01:06,-58.43421052631579
2013-02-11 17:01:07,-58.46606648199446
2013-02-11 18:01:06,-58.49722991689751
2013-02-11 19:01:08,-58.550554016620495
2013-02-11 20:01:07,-58.464681440443215
2013-02-11 21:01:05,-58.52354570637119
2013-02-11 22:01:05,-58.48961218836565
2013-02-11 23:01:09,-58.33448753462604
2013-02-12 00:01:03,-58.32825484764543
2013-02-12 01:01:04,-58.29986149584487
2013-02-12 02:01:03,-58.078947368421055
2013-02-12 03:01:05,-58.109418282548475
2013-02-12 04:01:05,-57.982698961937714
2013-02-12 05:01:05,-58.01522491349481
2013-02-12 06:01:03,-58.01799307958478
2013-02-12 07:01:10,-57.96955017301038
2013-02-12 08:01:04,-57.96747404844291
2013-02-12 09:01:05,-58.0401384083045
2013-02-12 10:01:12,-58.03529411764706
2013-02-12 11:01:07,-58.25121107266436
2013-02-12 12:01:09,-58.337024221453284
2013-02-12 13:01:22,-58.48650519031142
2013-02-12 14:01:10,-58.516262975778545
2013-02-12 15:01:09,-58.570242214532875
2013-02-12 16:01:10,-58.571230982019365
2013-02-12 17:01:03,-58.53075328265377
2013-02-12 18:01:05,-58.449205252246024
2013-02-12 19:01:07,-58.357290946786456
2013-02-12 20:01:05,-58.482377332411886
2013-02-12 21:01:04,-58.51554941257775
2013-02-12 22:01:05,-58.418106427090535
2013-02-12 23:01:04,-58.42156185210781
2013-02-13 00:01:07,-58.339322736696616
2013-02-13 01:01:03,-58.24118866620594
2013-02-13 02:01:05,-58.22252937111265
2013-02-13 03:01:06,-58.19419488597097
2013-02-13 04:01:04,-58.26261230131306
2013-02-13 05:01:06,-58.04768486523842
2013-02-13 06:01:05,-58.10297166551486
2013-02-13 07:01:04,-58.51278507256392
2013-02-13 08:01:05,-58.59640635798203
2013-02-13 09:01:05,-58.61161022805805
2013-02-13 10:01:06,-55.80787836903939
2013-02-13 11:01:06,-57.58396682791983
2013-02-13 12:01:07,-57.57774706288873
2013-02-13 13:01:04,-57.45611610228058
2013-02-13 14:01:05,-57.642709053213544
2013-02-13 15:01:04,-57.94402211472011
2013-02-13 16:01:03,-57.80373185901866
2013-02-13 17:01:07,-58.049067035245336
2013-02-13 18:01:07,-57.56945404284727
2013-02-13 19:01:05,-57.40635798203179
2013-02-13 20:01:07,-57.45127850725639
2013-02-13 21:01:06,-57.38217000691085
2013-02-13 22:01:06,-57.31928127159641
2013-02-13 23:01:05,-57.26952315134761
2013-02-14 00:01:06,-57.166551485832755
2013-02-14 01:01:06,-57.14651002073255
2013-02-14 02:01:06,-57.11195577055978
2013-02-14 03:01:05,-57.09875690607735
2013-02-14 04:01:05,-57.15745856353591
2013-02-14 05:01:07,-57.03660220994475
2013-02-14 06:01:06,-57.03453038674033
2013-02-14 07:01:03,-56.94198895027624
2013-02-14 08:01:07,-57.00897790055249
2013-02-14 09:01:04,-57.18439226519337
2013-02-14 10:01:06,-57.456491712707184
2013-02-14 11:01:05,-57.514502762430936
2013-02-14 12:01:04,-57.93619972260749
2013-02-14 13:01:05,-58.07980569049271
2013-02-14 14:01:03,-58.10201249132547
2013-02-14 15:01:03,-58.19847328244275
2013-02-14 16:01:03,-58.116585704371964
2013-02-14 17:01:02,-57.95975017349063
2013-02-14 18:01:02,-57.85912560721721
2013-02-14 19:01:01,-57.67869535045108
2013-02-14 20:01:02,-57.698126301179734
2013-02-14 21:01:02,-57.59888965995836
2013-02-14 22:01:01,-57.49618320610687
2013-02-14 23:01:02,-57.40804996530187
2013-02-15 00:01:02,-57.334489937543374
2013-02-15 01:01:02,-57.30673143650243
2013-02-15 02:01:02,-57.3206106870229
2013-02-15 03:01:02,-57.160999306037475
2013-02-15 04:01:02,-57.04781704781705
2013-02-15 05:01:02,-57.04986149584487
2013-02-15 06:01:01,-56.986149584487535
2013-02-15 07:01:02,-56.964681440443215
2013-02-15 08:01:01,-57.27986111111111
2013-02-15 09:01:02,-57.669444444444444
2013-02-15 10:01:03,-57.84583333333333
2013-02-15 11:01:01,-57.99583333333333
2013-02-15 12:01:02,-58.04375
2013-02-15 13:01:03,-58.12013888888889
2013-02-15 14:01:02,-58.18125
2013-02-15 15:01:03,-57.96111111111111
2013-02-15 16:01:02,-57.93680555555556
2013-02-15 17:01:03,-57.94722222222222
2013-02-15 18:01:01,-57.922916666666666
2013-02-15 19:01:02,-58.74027777777778
2013-02-15 20:01:02,-58.16180555555555
2013-02-15 21:01:01,-58.049305555555556
2013-02-15 22:01:02,-57.93194444444445
2013-02-15 23:01:02,-57.68541666666667
2013-02-16 00:01:02,-57.47638888888889
2013-02-16 01:01:03,-57.511805555555554
2013-02-16 02:01:02,-57.452083333333334
2013-02-16 03:01:01,-57.388888888888886
2013-02-16 04:01:02,-57.33934767522554
2013-02-16 05:01:02,-57.29632199861207
2013-02-16 06:01:02,-57.20124913254684
2013-02-16 07:01:02,-57.188063844552396
2013-02-16 08:01:03,-57.405142460041695
2013-02-16 09:01:01,-57.423210562890894
2013-02-16 10:01:01,-57.52536483669215
2013-02-16 11:01:01,-57.49687282835302
2013-02-16 12:01:02,-57.49270326615705
2013-02-16 13:01:02,-57.26615705350938
2013-02-16 14:01:02,-57.400972897845726
2013-02-16 15:01:02,-57.301598332175125
2013-02-16 16:01:02,-57.43363446838082
2013-02-16 17:01:02,-57.30785267546908
2013-02-16 18:01:01,-56.945100764419735
2013-02-16 19:01:02,-56.85267546907575
2013-02-16 20:01:01,-56.51216122307158
2013-02-16 21:01:02,-56.16608756080611
2013-02-16 22:01:02,-56.10076441973593
2013-02-16 23:01:01,-56.13342599027102
2013-02-17 00:01:02,-56.10979847116053
2013-02-17 01:01:03,-55.784572619874915
2013-02-17 02:01:02,-55.66296038915914
2013-02-17 03:01:02,-55.74704656011119
2013-02-17 04:01:01,-55.95760945100764
2013-02-17 05:01:02,-55.80125086865879
2013-02-17 06:01:04,-55.7776233495483
2013-02-17 07:01:02,-55.78248783877693
2013-02-17 08:01:02,-55.85406532314107
2013-02-17 09:01:02,-56.15079916608756
2013-02-17 10:01:02,-56.18137595552467
2013-02-17 11:01:02,-56.73735273735274
2013-02-17 12:01:02,-56.706167706167705
2013-02-17 13:01:01,-56.9043659043659
2013-02-17 14:01:02,-56.916146916146914
2013-02-17 15:01:02,-57.03118503118503
2013-02-17 16:01:01,-57.123354123354126
2013-02-17 17:01:01,-56.92099792099792
2013-02-17 18:01:02,-56.660429660429664
2013-02-17 19:01:02,-56.45818935729095
2013-02-17 20:01:02,-56.471319972356596
2013-02-17 21:01:02,-56.426399447132
2013-02-17 22:01:02,-56.339322736696616
2013-02-17 23:01:01,-56.35383552176918
2013-02-18 00:01:03,-56.27643400138217
2013-02-18 01:01:02,-56.18590186592951
2013-02-18 02:01:03,-56.14029025570145
2013-02-18 03:01:02,-56.16102280580511
2013-02-18 04:01:02,-56.0324809951624
2013-02-18 05:01:02,-55.872149274360744
2013-02-18 06:01:02,-55.962681409813406
2013-02-18 07:01:04,-56.00897170462388
2013-02-18 08:01:02,-56.34644582470669
2013-02-18 09:16:51,-56.94064872325742
2013-02-18 10:08:21,-57.317460317460316
2013-02-18 11:01:02,-57.7087646652864
2013-02-18 12:01:01,-57.77018633540373
2013-02-18 13:01:02,-57.819185645272604
2013-02-18 14:01:02,-58.08212560386473
2013-02-18 15:01:03,-58.145617667356795
2013-02-18 16:01:03,-58.091097308488614
2013-02-18 17:01:02,-57.93305728088337
2013-02-18 18:01:02,-57.806763285024154
2013-02-18 19:01:01,-57.757073844030366
2013-02-18 20:01:01,-57.702553485162184
2013-02-18 21:01:02,-57.57694962042788
2013-02-18 22:01:02,-57.608005521049
2013-02-18 23:01:02,-57.47895100069013
2013-02-19 00:01:02,-57.437543133195305
2013-02-19 01:01:03,-57.324361628709454
2013-02-19 02:01:02,-57.47826086956522
2013-02-19 03:01:02,-57.43724137931034
2013-02-19 04:01:02,-57.14541695382495
2013-02-19 05:01:02,-57.210199862164025
2013-02-19 06:01:02,-57.1301652892562
2013-02-19 07:01:02,-57.214187327823694
2013-02-19 08:01:02,-58.1198347107438
2013-02-19 09:01:02,-57.59848484848485
2013-02-19 10:01:02,-57.46625344352617
2013-02-19 11:01:02,-57.42837465564738
2013-02-19 12:01:02,-57.451101928374655
2013-02-19 13:01:02,-57.63980716253444
2013-02-19 14:01:03,-57.77961432506887
2013-02-19 15:01:02,-57.74242424242424
2013-02-19 16:01:02,-57.66528925619835
2013-02-19 17:01:03,-57.50137741046832
2013-02-19 18:01:02,-56.243801652892564
2013-02-19 19:01:02,-56.07300275482093
2013-02-19 20:01:01,-56.06473829201102
2013-02-19 21:01:02,-56.150137741046834
2013-02-19 22:01:01,-55.97865013774105
2013-02-19 23:01:02,-56.09710743801653
2013-02-20 00:01:02,-55.858815426997246
2013-02-20 01:01:02,-55.87534435261708
2013-02-20 02:01:02,-55.67837465564738
2013-02-20 03:01:02,-55.62809917355372
2013-02-20 04:01:02,-55.51377410468319
2013-02-20 05:01:01,-56.62258953168044
2013-02-20 06:01:02,-56.549586776859506
2013-02-20 07:01:02,-56.59228650137741
2013-02-20 08:01:01,-56.789256198347104
2013-02-20 09:01:02,-56.705234159779614
2013-02-20 10:01:02,-56.85606060606061
2013-02-20 11:01:03,-57.27961432506887
2013-02-20 12:01:02,-57.47933884297521
2013-02-20 13:01:02,-57.51961459050241
2013-02-22 10:01:02,-56.99589603283174
2013-02-22 11:01:02,-57.41341546885695
2013-02-22 12:01:03,-57.54794520547945
2013-02-22 13:01:02,-58.238519533927345
2013-02-22 14:01:02,-58.18518518518518
2013-02-22 15:01:02,-59.00488145048814
2013-02-22 16:01:02,-58.98186889818689
2013-02-22 17:01:03,-58.833333333333336
2013-02-22 18:01:02,-58.85634588563459
2013-02-22 19:01:02,-58.750348675034864
2013-02-22 20:01:02,-58.82566248256625
2013-02-22 21:01:01,-58.81589958158996
2013-02-22 22:01:01,-58.69735006973501
2013-02-22 23:01:02,-58.76429567642957
2013-02-23 00:01:02,-58.56694560669456
2013-02-23 01:01:01,-58.549511854951184
2013-02-23 02:01:02,-58.50940766550523
2013-02-23 03:01:02,-58.06717451523546
2013-02-23 04:01:01,-57.989626556016596
2013-02-23 05:01:02,-57.98758620689655
